match_gp,player,market_type,side,line,gp_selection,gp_price,pin_player,pin_price,pin_fair_price,pin_fair_prob,ev_pct,gp_market,gp_odd_id,pin_fixture_id
ARZ Cardinals vs. SEA Seahawks,Jaxon Smith-Njigba,playertotals-receptions,Over,6.5,Jaxon Smith-Njigba (SEA) Plus de 6.5,1.8696,"Smith-Njigba, Jaxon",2.16,2.2638970157987126,0.44171620573791676,-17.41673817523909,Total de réceptions Plus/Moins(Incl. Prolongations),4504794299,id1400003171515798
LA Chargers	 vs. LV Raiders,Jalen Nailor,playertotals-receptions,Under,2.5,Jalen Nailor (LV) moins de 2.5,1.8696,"Nailor, Jalen",2.16,2.2638970157987126,0.44171620573791676,-17.41673817523909,Total de réceptions Plus/Moins(Incl. Prolongations),4497118538,id1400003171515796
KC Chiefs vs. IND Colts,Rashee Rice,playertotals-receptions,Over,4.5,Rashee Rice (KC) Plus de 4.5,1.625,"Rice, Rashee",1.892,1.982857142857143,0.5043227665706052,-18.04755043227666,Total de réceptions Plus/Moins(Incl. Prolongations),4502059397,id1400003171515804
ARZ Cardinals vs. SEA Seahawks,Kendrick Bourne,playertotals-receptions,Under,2.5,Kendrick Bourne (ARI) moins de 2.5,1.7693,"Bourne, Kendrick",2.07,2.1661971830985918,0.4616384915474642,-18.322301690507146,Total de réceptions Plus/Moins(Incl. Prolongations),4497747502,id1400003171515798
LA Chargers	 vs. LV Raiders,Tre Tucker,playertotals-receptions,Over,3.5,Tre Tucker (LV) Plus de 3.5,1.8696,"Tucker, Tre",2.19,2.292798110979929,0.43614830072090627,-18.45771369721937,Total de réceptions Plus/Moins(Incl. Prolongations),4497118706,id1400003171515796
KC Chiefs vs. IND Colts,Daniel Jones,playertotals-passattempts,Over,32.5,Daniel Jones (IND) Plus de 32.5,1.7408,"Jones, Daniel",2.04,2.1415780637940682,0.4669453880324013,-18.71414685131958,Tentatives de passes du joueur Plus/Moins (Incl. Prolongations),4502109289,id1400003171515804
LA Rams vs. NY Giants,Matthew Stafford,playertotals-passcompletions,Over,21.5,Matthew Stafford (LAR) Plus de 21.5,1.6897,"Stafford, Matthew",1.97,2.0830126443100605,0.48007389812615464,-18.881913433623655,"Passes complétées, Joueur (prolongations incluses) ",4497680191,id1400003171515806
DEN Broncos	 vs. JAX Jaguars,Courtland Sutton,playertotals-receptions,Over,3.5,Courtland Sutton (DEN) Plus de 3.5,1.7408,"Sutton, Courtland",2.05,2.1471740346950194,0.46572843367213973,-18.925994266353918,Total de réceptions Plus/Moins(Incl. Prolongations),4502055099,id1400003171515794
DEN Broncos	 vs. JAX Jaguars,Bo Nix,playertotals-rushattempts,Under,4.5,Bo Nix (DEN) moins de 4.5,1.6667,"Nix, Bo",1.97,2.0625674217907224,0.48483263598326365,-19.192944560669446,Joueur tentative de gain par la course (prolongations incluses),4505202729,id1400003171515794
LA Rams vs. NY Giants,Matthew Stafford,playertotals-tdpasses,Under,1.5,Matthew Stafford (LAR) moins de 1.5,2.25,"Stafford, Matthew",2.65,2.7990495587236928,0.35726412806209074,-19.61557118602959,Total de Touchdowns à la passe du joueur (Incl. Prolongations),4497680186,id1400003171515806
LA Chargers	 vs. LV Raiders,Tre Harris,playertotals-receptions,Under,2.5,Tre Harris (LAC) moins de 2.5,1.8696,"Harris, Tre",2.23,2.3345302214242967,0.4283517046911049,-19.915365290951037,Total de réceptions Plus/Moins(Incl. Prolongations),4499021015,id1400003171515796
DAL Cowboys vs. WAS Commanders,Jayden Daniels,playertotals-passcompletions,Under,19.5,Jayden Daniels (WAS) moins de 19.5,1.8,"Daniels, Jayden",2.15,2.2543757292882147,0.4435817805383023,-20.155279503105593,"Passes complétées, Joueur (prolongations incluses) ",4497679329,id1400003171515800
LA Rams vs. NY Giants,Isaiah Likely,playertotals-receptions,Over,4.5,Isaiah Likely (NYG) Plus de 4.5,1.7693,"Likely, Isaiah",2.1,2.2180974477958237,0.45083682008368203,-20.233441422594133,Total de réceptions Plus/Moins(Incl. Prolongations),4500437428,id1400003171515806
DEN Broncos	 vs. JAX Jaguars,Jaylen Waddle,playertotals-receptions,Over,4.5,Jaylen Waddle (DEN) Plus de 4.5,1.7693,"Waddle, Jaylen",2.12,2.2219020172910664,0.4500648508430609,-20.370025940337232,Total de réceptions Plus/Moins(Incl. Prolongations),4505197752,id1400003171515794
SF 49ers		 vs. MIA Dolphins,Christian McCaffrey,playertotals-receptions,Under,4.5,Christian McCaffrey (SF) moins de 4.5,1.6897,"McCaffrey, Christian",2.04,2.137757947573898,0.4677798069397339,-20.959246021393163,Total de réceptions Plus/Moins(Incl. Prolongations),4501345735,id1400003171515802
ARZ Cardinals vs. SEA Seahawks,Cooper Kupp,playertotals-receptions,Over,2.5,Cooper Kupp (SEA) Plus de 2.5,1.8696,"Kupp, Cooper",2.29,2.3997555012224936,0.4167091186958737,-22.092063168619458,Total de réceptions Plus/Moins(Incl. Prolongations),4504859455,id1400003171515798
DEN Broncos	 vs. JAX Jaguars,Adam Trautman,playertotals-receptions,Over,1.5,Adam Trautman (DEN) Plus de 1.5,2.15,"Trautman, Adam",2.73,2.8609406952965233,0.34953538241601145,-24.849892780557536,Total de réceptions Plus/Moins(Incl. Prolongations),4502055293,id1400003171515794
